id,category,level,level_name,question,expected_answer,keywords,model_answer,status
1,药品知识,L1,知识回忆,冠心病支架术后双联抗血小板治疗（DAPT）通常包含哪两种药物？,阿司匹林和P2Y12受体拮抗剂（如氯吡格雷或替格瑞洛）。,"[""阿司匹林"", ""氯吡格雷"", ""替格瑞洛"", ""P2Y12""]","冠心病支架术后的双联抗血小板治疗（DAPT）通常由以下两类药物组成：

1. **阿司匹林**（Aspirin）——长期服用，通过抑制血栓素A?发挥抗血小板作用。

2. **P2Y12受体拮抗剂**——常用药物包括：
   - **氯吡格雷**（Clopidogrel）——最常用，尤其在出血风险较高时
   - **替格瑞洛**（Ticagrelor）——起效更快、效力更强，急性冠脉综合征（ACS）患者更常选用
   - **普拉格雷**（Prasugrel）——部分ACS患者使用

两者合用的目的是从不同机制同时抑制血小板聚集，预防支架内血栓形成。

> **注意**：具体选择哪种P2Y12抑制剂、疗程长短（通常6~12个月），需由主治医生根据支架类型、出血风险、肾功能等个体情况决定，请严格遵医嘱，不可自行调整或停药。",ok
2,药品知识,L1,知识回忆,他汀类药物降低低密度脂蛋白胆固醇（LDL-C）的主要作用机制是什么？,抑制肝脏内HMG-CoA还原酶，减少胆固醇内源性合成。,"[""HMG-CoA还原酶"", ""胆固醇合成"", ""肝脏""]","他汀类药物降低 LDL-C 的核心机制如下：

**竞争性抑制 HMG-CoA 还原酶**

他汀类药物结构上与 HMG-CoA（β-羟基-β-甲基戊二酸单酰辅酶A）相似，能竞争性抑制 HMG-CoA 还原酶——胆固醇合成限速步骤的关键酶，从而减少肝细胞内源性胆固醇的合成。

**继发性上调 LDL 受体**

肝细胞内胆固醇减少后，细胞通过 SREBP-2（固醇调节元件结合蛋白-2）通路上调细胞膜表面 LDL 受体的表达数量，从而摄取循环中更多的 LDL 颗粒，使血浆 LDL-C 浓度下降。

**量化效果**

不同强度他汀的 LDL-C 降幅大致为：
- 低强度：降低 < 30%
- 中等强度：降低 30–50%
- 高强度（如瑞舒伐他汀 20–40 mg、阿托伐他汀 40–80 mg）：降低 ≥ 50%

**额外作用（多效性）**

除降脂外，他汀还具有改善内皮功能、抗炎、稳定斑块等作用，这也是其心血管获益的重要组成部分。

如需了解具体药物选择或患者管理，请结合临床实际情况由主诊医生决策。",ok
3,临床诊疗,L1,知识回忆,根据现行指南，急性ST段抬高型心肌梗死（STEMI）患者从首次医疗接触到球囊扩张（FMC-to-Balloon）的目标时间应控制在多少以内？,不超过120分钟；若直接就诊于可行PCI的医院，则门球时间（D2B）应控制在90分钟以内。,"[""120分钟"", ""90分钟"", ""门球时间"", ""FMC""]","根据现行主要指南（ACC/AHA 及 ESC，中国相关指南与之一致）：

**直接 PCI（患者直接送至可行 PCI 的医院）**
- FMC-to-Balloon 目标：**≤ 90 分钟**

**转运 PCI（患者需从非 PCI 医院转运）**
- FMC-to-Balloon 目标：**≤ 120 分钟**

若预计无法在上述时间窗内完成 PCI，且无溶栓禁忌证，应考虑在 **FMC 后 10 分钟内**启动溶栓治疗（溶栓 door-to-needle ≤ 30 分钟）。

> 时间就是心肌（""Time is muscle""），缩短再灌注延误是改善 STEMI 预后的核心措施。",ok
4,临床诊疗,L1,知识回忆,GRACE评分在急性冠脉综合征（ACS）患者管理中的主要用途是什么？,用于危险分层和预后评估，指导治疗策略（如是否需早期侵入性治疗）。,"[""危险分层"", ""预后"", ""侵入性治疗""]","GRACE（Global Registry of Acute Coronary Events）评分在ACS管理中的主要用途是**危险分层**，具体包括：

**评估内容**
纳入8个变量：年龄、心率、收缩压、血肌酐、Killip分级、入院时心脏骤停、心肌标志物升高、ST段改变。

**核心用途**

1. **预测短期及长期死亡风险**
   - 院内死亡率
   - 出院后6个月死亡率
   评分越高，风险越大。

2. **指导有创策略时机选择**
   - 高危（GRACE >140）：推荐24小时内行早期侵入性策略（冠脉造影）
   - 中危（109–140）：72小时内
   - 低危（<109）：可选择保守或择期策略

3. **辅助决策是否强化抗栓治疗**
   帮助权衡出血风险与缺血获益。

**局限性**
需结合临床判断，不能单独替代整体评估，尤其对肾功能异常或老年患者需额外注意。

如有具体患者情况，建议由心内科医生结合临床综合评估。",ok
5,药品知识,L1,知识回忆,冠心病二级预防中，阿司匹林用于抗血小板维持治疗的常用剂量是多少？,每日75-100mg，长期口服。,"[""75mg"", ""100mg"", ""每日"", ""长期""]","冠心病二级预防中，阿司匹林抗血小板维持治疗的常用剂量为 **75～100 mg/天**（国内常用规格为 100 mg/天，即低剂量肠溶阿司匹林，每日一次，长期服用）。

**几点说明：**
- 此为国内外主要指南（ACC/AHA、ESC、中国冠心病指南）的推荐剂量范围。
- 更高剂量（如300 mg）仅用于急性期负荷，维持阶段无需增大剂量，且出血风险更高。
- 若存在阿司匹林不耐受或禁忌，可换用氯吡格雷 75 mg/天替代。

> ?? 以上为医学知识介绍，具体用药方案需由主诊医生根据个体情况（出血风险、肾功能、联合用药等）决定，请勿自行调整剂量。",ok
6,药品知识,L2,知识应用,急性冠脉综合征患者合并严重肾功能不全（eGFR<30 mL/min/1.73m2）时，使用比伐芦定抗凝应如何调整？,需减量使用，或优先换用普通肝素并严密监测ACT，因为比伐芦定主要经肾脏清除。,"[""减量"", ""肝素"", ""ACT"", ""监测""]","## 比伐芦定在严重肾功能不全（eGFR < 30）ACS 患者中的剂量调整

### 药代动力学基础

比伐芦定约 80% 经蛋白水解酶代谢，仅约 20% 经肾脏清除，相比普通肝素和低分子肝素，受肾功能影响相对较小，但 eGFR < 30 时半衰期可从正常约 25 分钟延长至 57 分钟，透析患者可达 3.5 小时。

### 剂量调整方案

| 肾功能状态 | 静脉负荷剂量 | 维持输注速率 |
|---|---|---|
| 正常（eGFR ≥ 30） | 0.75 mg/kg（不调整） | 1.75 mg/kg/h |
| 严重损害（eGFR < 30） | **0.75 mg/kg（不调整）** | **↓ 减至 1.0 mg/kg/h** |
| 透析依赖 | 0.75 mg/kg（不调整） | **↓ 减至 0.25 mg/kg/h** |

**核心原则：负荷剂量不变，维持输注速率需减量。**

### 监测要点

- 建议监测**活化凝血时间（ACT）**，目标 > 300 秒（PCI 中）
- 如 ACT < 225 秒，可追加 0.3 mg/kg 单次补充剂量
- 注意出血风险增加，缩短穿刺点压迫止血时间

### 特别提示

严重肾功能不全患者中，比伐芦定因药效更可预测，**实际上优于**肝素联合 GP IIb/IIIa 抑制剂的方案，是指南推荐的较优选择（ESC、ACC/AHA 均有相应推荐）。

> ?? 以上为临床参考信息，具体用药方案需结合患者整体情况由主治医师决策。",ok
7,临床诊疗,L2,知识应用,急性ST段抬高型心肌梗死（STEMI）发病12小时内，首选的再灌注治疗方式是什么？,直接经皮冠状动脉介入治疗（PCI），即急诊冠脉造影+支架植入。,"[""PCI"", ""介入治疗"", ""支架"", ""造影""]","**首选方案：直接经皮冠状动脉介入治疗（Primary PCI）**

在症状发作 **12小时内**，若能在首次医疗接触后 **120分钟内**完成球囊扩张，直接PCI是首选再灌注策略。

**关键时间窗口：**
- 目标：**门球时间（Door-to-Balloon）≤ 90分钟**
- 若无法及时行PCI（预计延误 >120 分钟），应在 **10分钟内**启动溶栓治疗（无禁忌证时）

**优先选择 Primary PCI 的原因：**
- 梗死相关血管开通率更高（>95% vs 溶栓约60–85%）
- 再闭塞率更低
- 出血（尤其颅内出血）风险更小
- 死亡率更低

**溶栓作为补救方案**适用于不具备PCI条件或转运时间过长的情况，溶栓后仍建议 2–24 小时内行冠脉造影。

> ?? 以上为医学知识介绍，不代替临床判断。STEMI属急症，须立即拨打急救电话（120），由专科医生评估后决策。",ok
8,药品知识,L2,知识应用,氯吡格雷与奥美拉唑等质子泵抑制剂（PPI）联用时，存在什么药代动力学相互作用？临床应如何处理？,奥美拉唑抑制CYP2C19酶，减少氯吡格雷活性代谢物生成，可能减弱抗血小板效果。建议换用泮托拉唑或雷贝拉唑。,"[""CYP2C19"", ""活性代谢物"", ""减弱"", ""泮托拉唑""]","## 氯吡格雷与PPI的药代动力学相互作用

### 作用机制

氯吡格雷是**前体药物**，需经肝脏 CYP2C19 酶两步代谢才能转化为有活性的硫醇代谢物，进而不可逆地抑制血小板 P2Y12 受体。

奥美拉唑（及艾司奥美拉唑）是 CYP2C19 的**强效竞争性抑制剂**，两者联用时：

- 活性代谢物血药浓度下降约 40–50%
- 血小板抑制率显著降低（ADP 诱导的聚集率上升）

---

### 不同 PPI 的影响程度对比

| PPI | CYP2C19 抑制强度 | 临床影响 |
|---|---|---|
| 奥美拉唑 / 艾司奥美拉唑 | 强 | 最大 |
| 兰索拉唑 | 中等 | 中等 |
| 泮托拉唑 | 弱 | 最小 |
| 雷贝拉唑 | 弱（非CYP2C19主要底物） | 最小 |

---

### 临床处理建议

**1. 需要 PPI 时，优选泮托拉唑或雷贝拉唑**，避免使用奥美拉唑/艾司奥美拉唑。

**2. PPI 的适应证不应因此忽视**——对于高胃肠道出血风险患者（消化道溃疡史、老年、联用 NSAID/糖皮质激素、双联抗板等），PPI 的保护获益通常大于理论上的抗板减弱风险（参考 COGENT 试验）。

**3. 考虑替换抗血小板药物**——对于真正高缺血风险且必须联用强 CYP2C19 抑制剂的患者，**替格瑞洛或普拉格雷**不依赖 CYP2C19 活化，可规避此相互作用（需评估出血风险及适应证）。

**4. 不建议单纯以""错峰服药""来规避**——该相互作用主要为代谢竞争，分开服药不能有效消除。

**5. 基因型检测**——CYP2C19 功能缺失等位基因携带者（PM/IM 型）本身氯吡格雷代谢即减弱，合用 PPI 风险更高，应优先考虑替代方案。

---

> **提示**：具体用药方案调整请结合患者病情由主治医师决定，切勿自行更换或停用抗血小板药物。",ok
9,临床诊疗,L2,知识应用,稳定型心绞痛患者，无禁忌证时，首选的无创性功能学检查是什么？,运动负荷心电图试验（运动平板试验），可评估心肌缺血及功能容量。,"[""运动负荷"", ""运动心电图"", ""平板试验""]","**运动负荷心电图（平板运动试验）**

在稳定型心绞痛患者中，若患者能够运动且静息心电图可判读（无左束支传导阻滞、预激综合征、起搏心律或明显ST段基线异常），运动负荷心电图是首选的无创功能学检查。

**选择依据：**
- 操作简便、费用低、可及性高
- 同时提供诊断与预后信息（运动耐量、症状、血压反应等）
- 指南推荐级别高（ACC/AHA、ESC均列为I类推荐）

**若存在以下情况，应改用负荷影像学检查（如负荷超声心动图或负荷核素心肌显像）：**
- 静息心电图异常影响判读
- 患者无法完成运动
- 既往已知冠心病或血运重建史，需定位缺血区域
- 运动心电图结果不确定

如有具体临床情况需要评估，建议在心内科门诊由医生综合判断后选择检查方案。",ok
10,临床诊疗,L2,知识应用,非ST段抬高型急性冠脉综合征（NSTE-ACS）患者入院后，应在多长时间内完成GRACE危险评分？,入院时立即评估，并在24小时内再次评估或完善动态评估。,"[""入院时"", ""24小时"", ""动态评估""]","根据ESC（欧洲心脏病学会）及国内NSTE-ACS相关指南：

**GRACE评分应在患者入院后尽早完成，通常要求在初始评估阶段（入院后1~2小时内）完成。**

具体要点如下：

- **时机**：GRACE评分属于入院即刻风险分层的必要内容，应与首份心电图、肌钙蛋白等检查同步进行，不应延迟。
- **目的**：根据评分结果（低危/中危/高危/极高危）决定侵入性策略的时机——
  - 极高危：即刻（< 2小时）
  - 高危：早期（< 24小时）
  - 中危：72小时内
  - 低危：可择期或负荷试验后决定
- **评分要素**：年龄、心率、收缩压、肌酐、心功能Killip分级、ST段偏移、心肌坏死标志物、院前心跳骤停史。

**结论**：无明确上限截止时间的硬性规定，但临床实践要求**入院即刻**完成，以不延误危险分层和治疗决策为原则。部分医院质控要求为**入院2小时内**记录。

如该患者为疑似急性冠脉综合征的急诊情况，请立即就医或联系急救，不要自行处理。",ok
